Q_cond 	 N_LP 	 N_HP 	 z_LP 	 z_HP 	 p_3 	 p_5 	 h_3 	 p_10 	 p_8 	 mdot_wf_bottom 	 mdot_wf_top 	 mdot_LT 	 mdot_MT 	 mdot_HT 	 Sum of residuals 	 time 
25000.00 	 40.00 	 60.00 	 15.40 	 14.50 	 1038441.36 	 2468804.57 	 643792.27 	 543087.15 	 1037993.30 	 0.0401 	 0.0728 	 0.4446 	 0.4090 	 1.1953 	 0.00 	 33.81
23000.00 	 40.00 	 60.00 	 15.40 	 14.50 	 1002340.89 	 2351986.19 	 644885.88 	 523940.59 	 1004251.76 	 0.0385 	 0.0698 	 0.4015 	 0.3697 	 1.0995 	 0.00 	 213.95
27000.00 	 40.00 	 60.00 	 15.40 	 14.50 	 1124683.59 	 2802368.31 	 641041.14 	 581592.51 	 1127684.21 	 0.0432 	 0.0787 	 0.4771 	 0.4373 	 1.2908 	 0.00 	 36.92
25000.00 	 35.00 	 60.00 	 15.40 	 14.50 	 1049029.65 	 2554865.67 	 638219.22 	 612075.17 	 1051455.86 	 0.0403 	 0.0739 	 0.4421 	 0.4172 	 1.1953 	 0.00 	 38.30
25000.00 	 45.00 	 60.00 	 15.40 	 14.50 	 1038525.21 	 2413746.06 	 648536.98 	 490095.27 	 1040649.13 	 0.0401 	 0.0721 	 0.4470 	 0.3980 	 1.1953 	 0.00 	 34.82
25000.00 	 40.00 	 55.00 	 15.40 	 14.50 	 1145319.93 	 2594041.11 	 642866.88 	 561770.28 	 1147961.86 	 0.0412 	 0.0742 	 0.4563 	 0.4039 	 1.1953 	 0.00 	 32.80
25000.00 	 40.00 	 65.00 	 15.40 	 14.50 	 955103.47 	 2377154.43 	 644018.64 	 529180.74 	 957101.67 	 0.0392 	 0.0718 	 0.4348 	 0.4091 	 1.1953 	 0.00 	 37.46
25000.00 	 40.00 	 60.00 	 13.40 	 14.50 	 1042826.25 	 2629242.14 	 645100.23 	 510713.26 	 1045455.29 	 0.0371 	 0.0715 	 0.4139 	 0.4291 	 1.1953 	 0.00 	 35.46
25000.00 	 40.00 	 60.00 	 17.40 	 14.50 	 1050972.59 	 2376951.48 	 641775.96 	 578524.49 	 1053073.41 	 0.0433 	 0.0747 	 0.4719 	 0.3862 	 1.1953 	 0.00 	 41.21
25000.00 	 40.00 	 60.00 	 15.40 	 12.50 	 1044859.04 	 2644289.80 	 643037.63 	 561708.92 	 1046877.25 	 0.0418 	 0.0720 	 0.4623 	 0.3765 	 1.1953 	 0.00 	 36.02
25000.00 	 40.00 	 60.00 	 15.40 	 16.50 	 1051245.28 	 2377100.76 	 643685.30 	 532882.83 	 1053779.54 	 0.0391 	 0.0743 	 0.4279 	 0.4327 	 1.1953 	 0.00 	 70.02
