Q_cond 	 N_LP 	 N_HP 	 z_LP 	 z_HP 	 p_3 	 p_5 	 h_3 	 p_10 	 p_8 	 mdot_wf_bottom 	 mdot_wf_top 	 mdot_LT 	 mdot_MT 	 mdot_HT 	 Sum of residuals 	 time 
25000.00 	 40.00 	 60.00 	 20.00 	 20.00 	 1043490.45 	 2758860.91 	 645057.60 	 517978.52 	 1045743.74	 0.0378 	 0.0707 	 0.4213 	 0.4113 	 1.1953 	 0.00 	 27.51
25000.00 	 45.00 	 60.00 	 20.00 	 20.00 	 1049337.41 	 2778190.32 	 643142.69 	 474280.90 	 1051760.27	 0.0384 	 0.0714 	 0.4312 	 0.4122 	 1.1993 	 0.02 	 213.92
25000.00 	 35.00 	 60.00 	 20.00 	 20.00 	 1049609.13 	 2841606.89 	 639845.19 	 582591.99 	 1051973.43	 0.0379 	 0.0716 	 0.4186 	 0.4204 	 1.1953 	 0.00 	 29.87
25000.00 	 40.00 	 65.00 	 20.00 	 20.00 	 951895.90 	 2638353.11 	 645653.61 	 501980.59 	 953898.20	 0.0368 	 0.0695 	 0.4111 	 0.4128 	 1.1953 	 0.00 	 27.54
25000.00 	 40.00 	 55.00 	 20.00 	 20.00 	 1144043.94 	 2888806.84 	 644480.47 	 533890.81 	 1146581.39	 0.0387 	 0.0720 	 0.4312 	 0.4101 	 1.1953 	 0.00 	 27.74
25000.00 	 40.00 	 60.00 	 25.00 	 20.00 	 1045817.48 	 2429984.40 	 641405.36 	 589894.70 	 1047655.18	 0.0444 	 0.0739 	 0.4872 	 0.3667 	 1.1953 	 0.00 	 30.59
25000.00 	 40.00 	 60.00 	 18.00 	 20.00 	 1043934.23 	 2940541.46 	 646632.30 	 482634.82 	 1046412.56	 0.0346 	 0.0693 	 0.3883 	 0.4335 	 1.1953 	 0.00 	 32.33
25000.00 	 40.00 	 60.00 	 20.00 	 25.00 	 1040389.02 	 2399441.43 	 645618.16 	 484605.25 	 1043305.58	 0.0348 	 0.0728 	 0.3886 	 0.4738 	 1.1953 	 0.00 	 32.04
25000.00 	 40.00 	 60.00 	 20.00 	 15.00 	 1051765.89 	 3317093.66 	 643952.93 	 564344.33 	 1053217.18	 0.0420 	 0.0679 	 0.4669 	 0.3252 	 1.1953 	 0.00 	 32.95
25000.00 	 40.00 	 60.00 	 15.00 	 20.00 	 1202820.05 	 4737189.71 	 577162.27 	 499016.54 	 1208356.14	 0.0352 	 0.0827 	 0.3989 	 0.3261 	 1.1957 	 0.00 	 205.34
