name,First-order Sobol indices,Total-order Sobol indices  
h_condensation,0.459520,0.505400  
beta,0.189238,0.212539  
Q,0.146518,0.149184  
h_single_phase,0.088142,0.099176  
phi,0.010166,0.070086  
f_single_phase,0.006595,0.020063  
T5_prime,0.003232,0.006850  
eta_is,0.000965,0.005734  
f_evaporation,0.000024,0.004282  
h_evaporation,0.000260,0.004141  
gamma,0.001418,0.004051  
alpha,0.001198,0.003728  
T3_prime,0.000266,0.002846  
T1_prime,0.000002,0.002486  
f_condensation,0.000059,0.001831  
