name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.335667,0.364622  
beta,0.139257,0.237628  
phi,0.143288,0.164220  
h_evaporation,0.055896,0.118053  
T1_prime,0.012143,0.075825  
Q,0.058202,0.065454  
T5_prime,0.019644,0.042373  
f_single_phase,0.008322,0.030623  
gamma,0.000016,0.025548  
T3_prime,0.002790,0.020069  
h_single_phase,0.003082,0.017533  
f_condensation,0.001136,0.016915  
f_evaporation,0.000580,0.015333  
h_condensation,0.000577,0.013685  
eta_is,0.003049,0.008467  
