name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.654620,0.657011  
phi,0.182819,0.191217  
Q,0.077489,0.078997  
f_single_phase,0.029314,0.032579  
T5_prime,0.016990,0.018535  
h_evaporation,0.005404,0.014577  
beta,0.001291,0.009215  
T1_prime,0.005646,0.007687  
eta_is,0.004285,0.005675  
T3_prime,0.000396,0.004716  
h_single_phase,0.000450,0.003215  
h_condensation,0.000066,0.001853  
f_condensation,0.000028,0.001500  
f_evaporation,0.000017,0.001395  
gamma,0.000000,0.000884  
