name,First-order Sobol indices,Total-order Sobol indices  
beta,0.384613,0.384613  
phi,0.146518,0.146518  
T1_prime,0.144131,0.144131  
h_evaporation,0.127032,0.127032  
alpha,0.088605,0.088605  
f_evaporation,0.030255,0.030255  
gamma,0.029231,0.029231  
f_single_phase,0.023327,0.023327  
f_condensation,0.015755,0.015755  
h_single_phase,0.004536,0.004536  
T3_prime,0.003263,0.003263  
h_condensation,0.001410,0.001410  
eta_is,0.001165,0.001165  
Q,0.000082,0.000082  
T5_prime,0.000077,0.000077  
