name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.583182,0.586317  
phi,0.162799,0.184693  
Q,0.096720,0.099495  
beta,0.017899,0.045407  
f_single_phase,0.033470,0.039201  
T1_prime,0.026482,0.035104  
h_single_phase,0.008326,0.023444  
T5_prime,0.003110,0.010157  
T3_prime,0.004509,0.008312  
h_condensation,0.001624,0.007083  
f_condensation,0.000850,0.004492  
eta_is,0.002294,0.004375  
gamma,0.000048,0.003607  
f_evaporation,0.000246,0.003442  
h_evaporation,0.000099,0.003215  
