name,First-order Sobol indices,Total-order Sobol indices  
h_condensation,0.412851,0.475543  
beta,0.198097,0.240081  
Q,0.159055,0.160605  
h_single_phase,0.090093,0.118146  
phi,0.012517,0.093084  
f_single_phase,0.005516,0.021089  
T5_prime,0.005776,0.010089  
T3_prime,0.000510,0.002959  
f_evaporation,0.000048,0.002345  
gamma,0.000434,0.002213  
f_condensation,0.000020,0.002040  
alpha,0.000008,0.002031  
T1_prime,0.000015,0.001969  
h_evaporation,0.000121,0.001841  
eta_is,0.000074,0.001659  
