name,First-order Sobol indices,Total-order Sobol indices  
phi,0.269583,0.363132  
beta,0.151378,0.348617  
h_single_phase,0.070994,0.201618  
Q,0.188339,0.194041  
f_single_phase,0.062978,0.076318  
T3_prime,0.002001,0.038097  
T5_prime,0.000948,0.015273  
eta_is,0.003658,0.009876  
gamma,0.000552,0.007223  
f_evaporation,0.000072,0.006937  
alpha,0.000101,0.006166  
h_condensation,0.000049,0.005485  
h_evaporation,0.000025,0.005140  
T1_prime,0.000191,0.005106  
f_condensation,0.000035,0.004872  
