name,First-order Sobol indices,Total-order Sobol indices  
phi,0.587472,0.587517  
Q,0.220158,0.220196  
f_single_phase,0.100200,0.100258  
T5_prime,0.044905,0.045337  
T3_prime,0.033049,0.033496  
eta_is,0.013409,0.013719  
h_single_phase,0.000002,0.000072  
beta,0.000001,0.000065  
f_condensation,0.000001,0.000059  
h_supercritical,0.000000,0.000054  
h_evaporation,0.000000,0.000050  
f_supercritical,0.000000,0.000042  
h_condensation,0.000002,0.000039  
gamma,0.000000,0.000037  
f_evaporation,0.000000,0.000037  
