name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.646812,0.646812  
phi,0.152474,0.152474  
Q,0.080550,0.080550  
f_single_phase,0.054559,0.054559  
T5_prime,0.031628,0.031628  
eta_is,0.012785,0.012785  
T1_prime,0.009873,0.009873  
gamma,0.004718,0.004718  
f_supercritical,0.002226,0.002226  
h_supercritical,0.001828,0.001828  
f_condensation,0.001150,0.001150  
h_evaporation,0.000977,0.000977  
h_condensation,0.000210,0.000210  
beta,0.000115,0.000115  
f_evaporation,0.000054,0.000054  
h_single_phase,0.000042,0.000042  
T3_prime,0.000001,0.000001  
