name,First-order Sobol indices,Total-order Sobol indices  
alpha,0.358249,0.370688  
beta,0.109830,0.199769  
phi,0.170870,0.192898  
h_evaporation,0.043986,0.107170  
Q,0.071497,0.081532  
T1_prime,0.001210,0.043710  
T5_prime,0.025843,0.043671  
h_single_phase,0.010386,0.037149  
f_single_phase,0.011371,0.028751  
eta_is,0.012198,0.026336  
f_condensation,0.000243,0.018990  
T3_prime,0.002238,0.018112  
h_supercritical,0.000050,0.016874  
h_condensation,0.000074,0.016644  
f_evaporation,0.000804,0.016636  
f_supercritical,0.000188,0.014023  
gamma,0.000469,0.012490  
